model,provider,exit_code,strict_accuracy,coverage,decisive_precision,decisive_wrong_rate,total_cells,scored_cells,correct_decisive,wrong_decisive,inconclusive,law_compilation_failures,completed_with_errors,unsupported_intent,total_llm_calls,total_tokens,estimated_cost_usd,duration_sec,output_dir
google/gemini-3.1-pro-preview,openrouter,1,0.2972972972972973,0.6486486486486487,0.9166666666666666,0.08333333333333333,37,24,11,1,11,12,1,0,180,2300007,,7288.91,C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\model_selection_final\google_gemini-3.1-pro-preview_20260528T060300
openai/gpt-5.5,openrouter,1,0.32432432432432434,0.6756756756756757,1.0,0.0,37,25,12,0,11,2,2,0,180,1677493,,5309.45,C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\model_selection_final\openai_gpt-5.5_20260528T060300
